"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"0000","25","01","REG","Texto fixo contendo “0000”.","C","004","-","O","",""
"0000","25","02","COD_VER","Código da versão do leiaute conforme a tabela indicada no Ato COTEPE.","N","003*","-","O","",""
"0000","25","03","COD_FIN","Código da finalidade do arquivo: 0 - Remessa do arquivo original; 1 - Remessa do arquivo substituto.","N","001","-","O","",""
"0000","25","04","DT_INI","Data inicial das informações contidas no arquivo.","N","008*","-","O","",""
"0000","25","05","DT_FIN","Data final das informações contidas no arquivo.","N","008*","-","O","",""
"0000","25","06","NOME","Nome empresarial da entidade.","C","100","-","O","",""
"0000","25","07","CNPJ","Número de inscrição da entidade no CNPJ.","N","014*","-","OC","",""
"0000","25","08","CPF","Número de inscrição da entidade no CPF.","N","011*","","OC","",""
"0000","25","09","UF","Sigla da unidade da federação da entidade.","C","002*","-","O","",""
"0000","25","10","IE","Inscrição Estadual da entidade.","C","014","-","O","",""
"0000","25","11","COD_MUN","Código do município do domicílio fiscal da entidade, conforme a tabela IBGE","N","007*","-","O","",""
"0000","25","12","IM","Inscrição Municipal da entidade.","C","-","-","OC","",""
"0000","25","13","SUFRAMA","Inscrição da entidade na SUFRAMA","C","009*","-","OC","",""
"0000","25","14","IND_PERFIL","Perfil de apresentação do arquivo fiscal; A – Perfil A; B – Perfil B.; C – Perfil C.","C","001","-","O","",""
"0000","25","15","IND_ATIV","Indicador de tipo de atividade: 0 – Industrial ou equiparado a industrial; 1 – Outros.","N","001","-","O","",""
"0001","27","01","REG","Texto fixo contendo “0001”.","C","004","-","O","",""
"0001","27","02","IND_MOV","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados.","N","001","-","O","",""
"0005","27","01","REG","Texto fixo contendo “0005”","C","004","-","O","",""
"0005","27","02","FANTASIA","Nome de fantasia associado ao nome empresarial.","C","060","-","O","",""
"0005","27","03","CEP","Código de Endereçamento Postal.","N","008*","-","O","",""
"0005","27","04","END","Logradouro e endereço do imóvel.","C","060","-","O","",""
"0005","27","05","NUM","Número do imóvel.","C","010","-","OC","",""
"0005","27","06","COMPL","Dados complementares do endereço.","C","060","-","OC","",""
"0005","27","07","BAIRRO","Bairro em que o imóvel está situado.","C","060","-","O","",""
"0005","27","08","FONE","Número do telefone (DDD+FONE).","C","11","-","OC","",""
"0005","27","09","FAX","Número do fax.","C","11","-","OC","",""
"0005","27","10","EMAIL","Endereço do correio eletrônico.","C","-","-","OC","",""
"0015","27","01","REG","Texto fixo contendo ""0015""","C","004","-","O","",""
"0015","27","02","UF_ST","Sigla da unidade da federação do contribuinte substituído ou unidade de federação do consumidor final não contribuinte - ICMS Destino EC 87/15.","C","002*","-","O","",""
"0015","27","03","IE_ST","Inscrição Estadual do contribuinte substituto na unidade da federação do contribuinte substituído ou unidade de federação do consumidor final não contribuinte - ICMS Destino EC 87/15.","C","014","-","O","",""
"0100","28","01","REG","Texto fixo contendo “0100”.","C","004","-","O","",""
"0100","28","02","NOME","Nome do contabilista.","C","100","-","O","",""
"0100","28","03","CPF","Número de inscrição do contabilista no CPF.","N","011*","-","O","",""
"0100","28","04","CRC","Número de inscrição do contabilista no Conselho Regional de Contabilidade.","C","015","-","O","",""
"0100","28","05","CNPJ","Número de inscrição do escritório de contabilidade no CNPJ, se houver.","N","014*","-","OC","",""
"0100","28","06","CEP","Código de Endereçamento Postal.","N","008*","-","OC","",""
"0100","28","07","END","Logradouro e endereço do imóvel.","C","060","-","OC","",""
"0100","28","08","NUM","Número do imóvel.","C","010","-","OC","",""
"0100","28","09","COMPL","Dados complementares do endereço.","C","060","-","OC","",""
"0100","28","10","BAIRRO","Bairro em que o imóvel está situado.","C","060","-","OC","",""
"0100","28","11","FONE","Número do telefone (DDD+FONE).","C","11","-","OC","",""
"0100","28","12","FAX","Número do fax.","C","11","-","OC","",""
"0100","28","13","EMAIL","Endereço do correio eletrônico.","C","-","-","O","",""
"0100","28","14","COD_MUN","Código do município, conforme tabela IBGE.","N","007*","-","O","",""
"0150","29","01","REG","Texto fixo contendo “0150”.","C","004","-","O","",""
"0150","29","02","COD_PART","Código de identificação do participante no arquivo.","C","060","-","O","",""
"0150","29","03","NOME","Nome pessoal ou empresarial do participante.","C","100","-","O","",""
"0150","29","04","COD_PAIS","Código do país do participante, conforme a tabela indicada no item 3.2.1","N","005","-","O","",""
"0150","29","05","CNPJ","CNPJ do participante.","N","014*","-","OC","",""
"0150","29","06","CPF","CPF do participante.","N","011*","-","OC","",""
"0150","29","07","IE","Inscrição Estadual do participante.","C","014","-","OC","",""
"0150","29","08","COD_MUN","Código do município, conforme a tabela IBGE","N","007*","-","OC","",""
"0150","29","09","SUFRAMA","Número de inscrição do participante na SUFRAMA.","C","009*","-","OC","",""
"0150","29","10","END","Logradouro e endereço do imóvel","C","060","-","O","",""
"0150","29","11","NUM","Número do imóvel","C","010","-","OC","",""
"0150","29","12","COMPL","Dados complementares do endereço","C","060","-","OC","",""
"0150","29","13","BAIRRO","Bairro em que o imóvel está situado","C","060","-","OC","",""
"0175","30","01","REG","Texto fixo contendo “0175”","C","004","-","O","",""
"0175","30","02","DT_ALT","Data de alteração do cadastro","N","008*","-","O","",""
"0175","30","03","NR_CAMPO","Número do campo alterado (campos 03 a 13, exceto 07)","C","002","-","O","",""
"0175","30","04","CONT_ANT","Conteúdo anterior do campo","C","100","-","O","",""
"0190","31","01","REG","Texto fixo contendo ""0190""","C","004","-","O","",""
"0190","31","02","UNID","Código da unidade de medida","C","006","-","O","",""
"0190","31","03","DESCR","Descrição da unidade de medida","C","-","-","O","",""
"0200","31","01","REG","Texto fixo contendo ""0200""","C","004","-","O","",""
"0200","31","02","COD_ITEM","Código do item","C","060","-","O","",""
"0200","31","03","DESCR_ITEM","Descrição do item","C","-","-","O","",""
"0200","31","04","COD_BARRA","Representação alfanumérico do código de barra do produto, se houver","C","-","-","OC","",""
"0200","31","05","COD_ANT_ITEM","Código anterior do item com relação à última informação apresentada.","C","060","-","N (informar no 0205)","",""
"0200","31","06","UNID_INV","Unidade de medida utilizada na quantificação de estoques.","C","006","-","O","",""
"0200","31","07","TIPO_ITEM","Tipo do item – Atividades Industriais, Comerciais e Serviços: 00 – Mercadoria para Revenda; 01 – Matéria-Prima; 02 – Embalagem; 03 – Produto em Processo;","N","2","-","O","",""
"0200","32","08","COD_NCM","Código da Nomenclatura Comum do Mercosul","C","008*","-","OC","",""
"0200","32","09","EX_IPI","Código EX, conforme a TIPI","C","003","-","OC","",""
"0200","32","10","COD_GEN","Código do gênero do item, conforme a Tabela 4.2.1","N","002*","-","OC","",""
"0200","32","11","COD_LST","Código do serviço conforme lista do Anexo I da Lei Complementar Federal nº 116/03.","C","005","","OC","",""
"0200","32","12","ALIQ_ICMS","Alíquota de ICMS aplicável ao item nas operações internas","N","006","02","OC","",""
"0200","32","13","CEST","Código Especificador da Substituição Tributária","N","007*","-","OC","",""
"0205","34","01","REG","Texto fixo contendo ""0205""","C","004","-","O","",""
"0205","34","02","DESCR_ANT_ITEM","Descrição anterior do item","C","-","-","OC","",""
"0205","34","03","DT_INI","Data inicial de utilização da descrição do item","N","008*","-","O","",""
"0205","34","04","DT_FIM","Data final de utilização da descrição do item","N","008*","-","O","",""
"0205","34","05","COD_ANT_ITEM","Código anterior do item com relação à última informação apresentada.","C","060","-","OC","",""
"0206","34","01","REG","Texto fixo contendo ""0206""","C","004","-","O","",""
"0206","34","02","COD_COMB","Código do produto, conforme tabela publicada pela ANP","C","-","-","O","",""
"0210","35","01","REG","Texto fixo contendo ""0210""","C","4","-","O","",""
"0210","35","02","COD_ITEM_COMP","Código do item componente/insumo (campo 02 do Registro 0200)","C","60","-","O","",""
"0210","35","03","QTD_COMP","Quantidade do item componente/insumo para se produzir uma unidade do item composto/resultante","N","-","6","O","",""
"0210","35","04","PERDA","Perda/quebra normal percentual do insumo/componente para se produzir uma unidade do item composto/resultante","N","-","4","O","",""
"0220","36","01","REG","Texto fixo contendo ""0220""","C","004","-","O","",""
"0220","36","02","UNID_CONV","Unidade comercial a ser convertida na unidade de estoque, referida no registro 0200.","C","006","-","O","",""
"0220","36","03","FAT_CONV","Fator de conversão: fator utilizado para converter (multiplicar) a unidade a ser convertida na unidade adotada no inventário.","N","-","6","O","",""
"0300","36","01","REG","Texto fixo contendo ""0300""","C","004*","-","O","",""
"0300","36","02","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","-","O","",""
"0300","36","03","IDENT_MERC","Identificação do tipo de mercadoria: 1 = bem; 2 = componente.","C","001*","-","O","",""
"0300","36","04","DESCR_ITEM","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)","C","-","-","O","",""
