"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"0300","39","01","REG","Texto fixo contendo ""0300""","C","004*","-","O","",""
"0300","39","02","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","-","O","",""
"0300","39","03","IDENT_MERC","Identificação do tipo de mercadoria: 1 = bem; 2 = componente.","C","001*","-","O","",""
"0300","39","04","DESCR_ITEM","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)","C","-","-","O","",""
"0300","39","05","COD_PRNC","Código de cadastro do bem principal nos casos em que o bem ou componente ( campo 02) esteja vinculado a um bem principal.","C","060","-","OC","",""
"0300","39","06","COD_CTA","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)","C","060","-","O","",""
"0300","39","07","NR_PARC","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada","N","003","-","OC","",""
"0305","40","01","REG","Texto fixo contendo ""0305""","C","004*","-","O","",""
"0305","40","02","COD_CCUS","Código do centro de custo onde o bem está sendo ou será utilizado (campo 03 do Registro 0600)","C","060","-","O","",""
"0305","40","03","FUNC","Descrição sucinta da função do bem na atividade do estabelecimento","C","-","-","O","",""
"0305","40","04","VIDA_UTIL","Vida útil estimada do bem, em número de meses","N","003","-","OC","",""
"0500","42","01","REG","Texto fixo contendo “0500”","C","004*","-","O","",""
"0500","42","02","DT_ALT","Data da inclusão/alteração","N","008*","-","O","",""
"0500","42","03","COD_ NAT_CC","Código da natureza da conta/grupo de contas: 01 - Contas de ativo; 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras.","C","002*","-","O","",""
"0500","42","04","IND_CTA","Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta).","C","001*","-","O","",""
"0500","42","05","NÍVEL","Nível da conta analítica/grupo de contas.","N","005","-","O","",""
"0500","42","06","COD_CTA","Código da conta analítica/grupo de contas.","C","60","-","O","",""
"0500","42","07","NOME_CTA","Nome da conta analítica/grupo de contas.","C","60","-","O","",""
"0600","43","01","REG","Texto fixo contendo “0600”.","C","004*","-","O","",""
"0600","43","02","DT_ALT","Data da inclusão/alteração.","N","008*","-","O","",""
"0600","43","03","COD_CCUS","Código do centro de custos.","C","060","-","O","",""
"0600","43","04","CCUS","Nome do centro de custos.","C","060","-","O","",""
"G001","236","01","REG","Texto fixo contendo ""G001""","C","004*","-","O","",""
"G001","236","02","IND_MOV","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados","C","001*","-","O","",""
"G110","237","01","REG","Texto fixo contendo ""G110""","C","004*","-","O","",""
"G110","237","02","DT_INI","Data inicial a que a apuração se refere","N","008*","-","O","",""
"G110","237","03","DT_FIN","Data final a que a apuração se refere","N","008*","-","O","",""
"G110","237","04","SALDO_IN_ICMS","Saldo inicial de ICMS do CIAP, composto por ICMS de bens que entraram anteriormente ao período de apuração (somatório dos campos 05 a 08 dos registros G125)","N","-","02","O","",""
"G110","237","05","SOM_PARC","Somatório das parcelas de ICMS passível de apropriação de cada bem (campo 10 do G125)","N","-","02","O","",""
"G110","237","06","VL_TRIB_EXP","Valor do somatório das saídas tributadas e saídas para exportação","N","-","02","O","",""
"G110","237","07","VL_TOTAL","Valor total de saídas","N","-","02","O","",""
"G110","237","08","IND_PER_SAI","Índice de participação do valor do somatório das saídas tributadas e saídas para exportação no valor total de saídas (Campo 06 dividido pelo campo 07)","N","-","08","O","",""
"G110","237","09","ICMS_APROP","Valor de ICMS a ser apropriado na apuração do ICMS, correspondente à multiplicação do campo 05 pelo campo 08.","N","-","02","O","",""
"G110","237","10","SOM_ICMS_OC","Valor de outros créditos a ser apropriado na Apuração do ICMS, correspondente ao somatório do campo 09 do registro G126.","N","-","02","O","",""
"G125","238","01","REG","Texto fixo contendo ""G125""","C","004*","-","O","",""
"G125","238","02","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","-","O","",""
"G125","238","03","DT_MOV","Data da movimentação ou do saldo inicial","N","008*","-","O","",""
"G125","239","04","TIPO_MOV","Tipo de movimentação do bem ou componente: SI = Saldo inicial de bens imobilizados; IM = Imobilização de bem individual; IA = Imobilização em Andamento - Componente; CI = Conclusão de Imobilização em Andamento – Bem Resultante; MC = Imobilização oriunda do Ativo Circulante; BA = Baixa do bem - Fim do período de apropriação; AT = Alienação ou Transferência; PE = Perecimento, Extravio ou Deterioração; OT = Outras Saídas do Imobilizado","C","002*","-","O","",""
"G125","239","05","VL_IMOB_ICMS_ OP","Valor do ICMS da Operação Própria na entrada do bem ou componente","N","-","02","OC","",""
"G125","239","06","VL_IMOB_ICMS_ ST","Valor do ICMS da Oper. por Sub. Tributária na entrada do bem ou componente","N","-","02","OC","",""
"G125","239","07","VL_IMOB_ICMS_ FRT","Valor do ICMS sobre Frete do Conhecimento de Transporte na entrada do bem ou componente","N","-","02","OC","",""
"G125","239","08","VL_IMOB_ICMS_ DIF","Valor do ICMS - Diferencial de Alíquota, conforme Doc. de Arrecadação, na entrada do bem ou componente","N","-","02","OC","",""
"G125","239","09","NUM_PARC","Número da parcela do ICMS","N","003","-","OC","",""
"G125","239","10","VL_PARC_PASS","Valor da parcela de ICMS passível de apropriação (antes da aplicação da participação percentual do valor das saídas tributadas/exportação sobre as saídas totais)","N","-","02","OC","",""
"G126","241","01","REG","Texto fixo contendo ""G126""","C","004*","-","O","",""
"G126","241","02","DT_INI","Data inicial do período de apuração","N","008*","-","O","",""
"G126","241","03","DT_FIM","Data final do período de apuração","N","008*","","O","",""
"G126","242","04","NUM_PARC","Número da parcela do ICMS","N","003","-","O","",""
"G126","242","05","VL_PARC_PASS","Valor da parcela de ICMS passível de apropriação - antes da aplicação da participação percentual do valor das saídas tributadas/exportação sobre as saídas totais","N","-","02","O","",""
"G126","242","06","VL_TRIB_OC","Valor do somatório das saídas tributadas e saídas para exportação no período indicado neste registro","N","-","02","O","",""
"G126","242","07","VL_TOTAL","Valor total de saídas no período indicado neste registro","N","-","02","O","",""
"G126","242","08","IND_PER_SAI","Índice de participação do valor do somatório das saídas tributadas e saídas para exportação no valor total de saídas (Campo 06 dividido pelo campo 07)","N","-","08","O","",""
"G126","242","09","VL_PARC_APROP","Valor de outros créditos de ICMS a ser apropriado na apuração (campo 05 vezes o campo 08)","N","-","02","O","",""
"G130","243","01","REG","Texto fixo contendo ""G130""","C","004","-","O","",""
"G130","243","02","IND_EMIT","Indicador do emitente do documento fiscal: 0- Emissão própria; 1- Terceiros","C","001*","-","O","",""
"G130","243","03","COD_PART","Código do participante : - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","-","O","",""
"G130","243","04","COD_MOD","Código do modelo de documento fiscal, conforme tabela 4.1.1","C","002*","-","O","",""
"G130","243","05","SERIE","Série do documento fiscal","C","003","-","OC","",""
"G130","243","06","NUM_DOC","Número de documento fiscal","N","009","-","O","",""
"G130","243","07","CHV_NFE_CTE","Chave do documento fiscal eletrônico","N","044*","-","OC","",""
"G130","243","08","DT_DOC","Data da emissão do documento fiscal","N","008*","-","O","",""
"G130","243","09","NUM_DA","Número do documento de arrecadação estadual, se houver","C","-","-","OC","",""
"G140","243","01","REG","Texto fixo contendo ""G140""","C","004","-","O","",""
"G140","243","02","NUM_ITEM","Número sequencial do item no documento fiscal","N","003","-","O","",""
"G140","243","03","COD_ITEM","Código correspondente do bem no documento fiscal (campo 02 do registro 0200)","C","060","-","O","",""
"G140","244","04","QTDE","Quantidade, deste item da nota fiscal, que foi aplicada neste bem, expressa na mesma unidade constante no documento fiscal de entrada","N","-","05","O","",""
"G140","244","05","UNID","Unidade do item constante no documento fiscal de entrada","C","6","-","O","",""
"G140","244","06","VL_ICMS_OP_APLICADO","Valor do ICMS da Operação Própria na entrada do item, proporcional à quantidade aplicada no bem ou componente.","N","-","02","O","",""
"G140","244","07","VL_ICMS_ST_APLICADO","Valor do ICMS ST na entrada do item, proporcional à quantidade aplicada no bem ou componente.","N","-","02","O","",""
"G140","244","08","VL_ICMS_FRT_APLICADO","Valor do ICMS sobre Frete do Conhecimento de Transporte na entrada do item, proporcional quantidade aplicada no bem ou componente.","N à","-","02","O","",""
"G140","244","09","VL_ICMS_DIF_APLICADO","Valor do ICMS Diferencial de Alíquota, na entrada do item, proporcional à quantidade aplicada no bem ou componente.","N","-","02","O","",""
"G990","244","01","REG","Texto fixo contendo ""G990""","C","004*","-","O","",""
"G990","244","02","QTD_LIN_G","Quantidade total de linhas do Bloco G","N","-","-","O","",""
"1900","289","01","REG","Texto fixo contendo ""1900""","C","004","-","O","",""
"1900","289","02","IND_APUR_ICMS","Indicador de outra apuração do ICMS: 3 – APURAÇÃO 1; 4 – APURAÇÃO 2; 5 – APURAÇÃO 3; 6 – APURAÇÃO 4; 7 – APURAÇÃO 5; 8 – APURAÇÃO 6.","C","001*","-","O","",""
"1900","289","03","DESCR_COMPL_OUT_APU R","Descrição complementar de Outra Apuração do ICMS","C","-","-","O","",""
"1910","290","01","REG","Texto fixo contendo ""1910""","C","004","-","O","",""
"1910","290","02","DT_INI","Data inicial da sub-apuração","N","008*","-","O","",""
"1910","290","03","DT_FIN","Data final da sub-apuração","N","008*","-","O","",""
"1920","290","01","REG","Texto fixo contendo ""1920""","C","004","-","O","",""
"1920","290","02","VL_TOT_TRANSF_DEBITOS_OA","Valor total dos débitos por “Saídas e prestações com débito do imposto”","N","-","02","O","",""
"1920","290","03","VL_TOT_AJ_DEBITOS_OA","Valor total de “Ajustes a débito”","N","-","02","O","",""
"1920","290","04","VL_ESTORNOS_CRED_OA","Valor total de Ajustes “Estornos de créditos”","N","-","02","O","",""
"1920","290","05","VL_TOT_TRANSF_CREDITOS_OA","Valor total dos créditos por “Entradas e aquisições com crédito do imposto”","N","-","02","O","",""
"1920","290","06","VL_TOT_AJ_CREDITOS_OA","Valor total de “Ajustes a crédito”","N","-","02","O","",""
"1920","290","07","VL_ESTORNOS_DEB_OA","Valor total de Ajustes “Estornos de Débitos”","N","-","02","O","",""
"1920","290","08","VL_SLD_CREDOR_ANT_OA","Valor total de “Saldo credor do período anterior”","N","-","02","O","",""
"1920","290","09","VL_SLD_APURADO_OA","Valor do saldo devedor apurado","N","-","02","O","",""
"1920","290","10","VL_TOT_DED","Valor total de “Deduções”","N","-","02","O","",""
"1920","290","11","VL_ICMS_RECOLHER_OA","Valor total de ""ICMS a recolher (09-10)","N","-","02","O","",""
"1920","290","12","VL_SLD_CREDOR_TRANSP_OA","Valor total de “Saldo credor a transportar para o período seguinte”","N","-","02","O","",""
"1920","290","13","DEB_ESP_OA","Valores recolhidos ou a recolher, extra- apuração.","N","-","02","O","",""
"1921","293","01","REG","Texto fixo contendo ""1921""","C","004","-","O","",""
