"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"0000","59","01","REG","Texto fixo contendo “0000”.","C","004*","-","S"
"0000","59","02","COD_VER","Código da versão do leiaute conforme a tabela 3.1.1.","N","003*","-","S"
"0000","59","03","TIPO_ESCRIT","Tipo de escrituração: 0 - Original; 1 – Retificadora.","N","001*","-","S"
"0000","59","04","IND_SIT_ESP","Indicador de situação especial: 0 - Abertura 1 - Cisão 2 - Fusão 3 - Incorporação 4 – Encerramento","N","001*","-","N"
"0000","59","05","NUM_REC_ANTERI OR","Número do Recibo da Escrituração anterior a ser retificada, utilizado quando TIPO_ESCRIT for igual a 1","C","041*","-","N"
"0000","59","06","DT_INI","Data inicial das informações contidas no arquivo.","N","008*","-","S"
"0000","59","07","DT_FIN","Data final das informações contidas no arquivo.","N","008*","-","S"
"0000","59","08","NOME","Nome empresarial da pessoa jurídica","C","100","-","S"
"0000","59","09","CNPJ","Número de inscrição do estabelecimento matriz da pessoa jurídica no CNPJ.","N","014*","-","S"
"0000","59","10","UF","Sigla da Unidade da Federação da pessoa jurídica.","C","002*","-","S"
"0000","59","11","COD_MUN","Código do município do domicílio fiscal da pessoa jurídica, conforme a tabela IBGE","N","007*","-","S"
"0000","59","12","SUFRAMA","Inscrição da pessoa jurídica na Suframa","C","009*","-","N"
"0000","59","13","IND_NAT_PJ","Indicador da natureza da pessoa jurídica: 00 – Pessoa jurídica em geral 01 – Sociedade cooperativa 02 – Entidade sujeita ao PIS/Pasep exclusivamente com base na Folha de Salários","N","002*","-","N"
"0000","60","14","IND_ATIV","Indicador de tipo de atividade preponderante: 0 – Industrial ou equiparado a industrial; 1 – Prestador de serviços; 2 - Atividade de comércio; 3 – Pessoas jurídicas referidas nos §§ 6º, 8º e 9º do art. 3º da Lei nº 9.718, de 1998; 4 – Atividade imobiliária; 9 – Outros.","N","001","-","S"
"0001","62","01","REG","Texto fixo contendo “0001”.","C","004*","-","S"
"0001","62","02","IND_MOV","Indicador de movimento: 0 - Bloco com dados informados; 1 – Bloco sem dados informados.","N","001","-","S"
"0035","63","01","REG","Texto fixo contendo “0035”.","C","004*","-",""
"0035","63","02","COD_SCP","Identificação da SCP","N","014*","-",""
"0035","63","03","DESC_SCP","Descrição da SCP","C","-","-",""
